order-id,order-date,customer-id,product-name,product-category,quantity,sales
O0040,2025-05-18,C0088,Laptop,Electronics,4,3443.94
O0041,2025-02-12,C0551,Desk Lamp,Home & Office,6,232.37
O0042,2025-09-05,C0408,Mouse,Electronics,3,104.84
O0043,2025-10-23,C0349,Laptop,Electronics,5,4562.08
O0044,2025-09-14,C0625,Running Shoes,Clothing,4,520.8
O0045,2025-06-25,C0126,Laptop,Electronics,8,7066.26
O0046,2025-08-24,C0686,Smartphone,Electronics,6,3617.21
O0047,2025-07-03,C0460,Jacket,Clothing,6,848.99
O0048,2025-04-03,C0826,Watch,Accessories,4,703.06
O0049,2025-07-12,C0850,Smartphone,Electronics,7,4340.41
O0050,2025-07-08,C0304,Monitor,Electronics,7,1791.11
O0051,2025-09-15,C0330,Keyboard,Electronics,5,292.59
O0052,2025-01-27,C0306,Smartphone,Electronics,7,4414.62
O0053,2025-10-21,C0724,Keyboard,Electronics,8,463.37
O0054,2025-11-28,C0862,Watch,Accessories,4,712.14
O0055,2025-05-08,C0467,T-Shirt,Clothing,6,228.85
O0056,2025-06-22,C0187,Coffee Maker,Home Appliances,5,600.03
O0057,2025-08-08,C0752,Keyboard,Electronics,1,56.76
O0058,2025-10-01,C0555,Mouse,Electronics,8,254.39
O0059,2025-07-09,C0227,Mouse,Electronics,6,226.44
O0060,2025-08-26,C0932,Desk Lamp,Home & Office,1,40.03
O0061,2025-12-28,C0015,Desk Lamp,Home & Office,5,203.2
O0062,2025-04-27,C0065,Watch,Accessories,7,1307.37
O0063,2025-03-28,C0367,Bookshelf,Furniture,5,769.36
O0064,2025-11-07,C0690,Jacket,Clothing,1,135.39
O0065,2025-01-24,C0170,Monitor,Electronics,4,1068.36
O0066,2025-06-05,C0898,Coffee Maker,Home Appliances,4,439.99
O0067,2025-05-25,C0106,T-Shirt,Clothing,4,140.78
O0068,2025-04-10,C0945,T-Shirt,Clothing,5,175.72
O0069,2025-07-28,C0460,Headphones,Electronics,7,667.52
O0070,2025-10-19,C0670,Keyboard,Electronics,1,54.26
O0071,2025-03-20,C0200,Jacket,Clothing,6,898.78
O0072,2025-01-20,C0214,Office Chair,Furniture,4,721.16
O0073,2025-01-14,C0672,Headphones,Electronics,7,568.38
O0074,2025-01-22,C0253,Watch,Accessories,1,195.29
O0075,2025-04-06,C0290,Jacket,Clothing,5,720.63
O0076,2025-09-21,C0371,Watch,Accessories,4,651.74
O0077,2025-04-26,C0523,Mouse,Electronics,8,275.2
O0078,2025-10-14,C0079,Jacket,Clothing,7,984.68
O0079,2025-05-27,C0749,Jeans,Clothing,1,64.95
O0080,2025-03-04,C0883,Keyboard,Electronics,3,163.68
O0081,2025-08-16,C0296,Wallet,Accessories,1,45.19
O0082,2025-07-19,C0109,Wallet,Accessories,4,195.72
O0083,2025-10-31,C0754,Coffee Maker,Home Appliances,2,227.24
O0084,2025-07-16,C0130,Headphones,Electronics,4,336.95
O0085,2025-01-03,C0814,Jeans,Clothing,3,195.83
O0086,2025-01-17,C0225,Headphones,Electronics,6,496.61
O0087,2025-04-13,C0062,T-Shirt,Clothing,7,252.9
O0088,2025-02-28,C0093,Smartphone,Electronics,3,1845.62
O0089,2025-07-03,C0832,Mouse,Electronics,1,34.58
O0090,2025-05-01,C0350,Office Chair,Furniture,4,803.29
O0091,2025-12-12,C0336,Mouse,Electronics,2,63.13
O0092,2025-04-28,C0060,Running Shoes,Clothing,6,765.31
O0093,2025-02-26,C0295,Blender,Home Appliances,2,162.74
O0094,2025-10-13,C0804,Desk,Furniture,3,793.89
O0095,2025-08-04,C0569,Desk Lamp,Home & Office,5,219.06
O0096,2025-11-17,C0427,Wallet,Accessories,6,250.03
O0097,2025-06-29,C0862,Smartphone,Electronics,5,2984.35
O0098,2025-09-17,C0663,Laptop,Electronics,6,5364.03
O0099,2025-07-13,C0625,Backpack,Accessories,2,135.71
O0100,2025-02-23,C0980,Watch,Accessories,8,1507.23
O0101,2025-07-24,C0073,Blender,Home Appliances,4,308.09
O0102,2025-07-03,C0493,Office Chair,Furniture,4,748.96
O0103,2025-07-18,C0747,Backpack,Accessories,3,176.54
O0104,2025-04-09,C0104,Laptop,Electronics,3,2481.42
O0105,2025-05-19,C0937,Mouse,Electronics,2,64.7
O0106,2025-01-30,C0370,Headphones,Electronics,6,584.78
O0107,2025-07-30,C0267,Mouse,Electronics,5,160.75
O0108,2025-12-08,C0999,Coffee Maker,Home Appliances,2,221.54
O0109,2025-11-23,C0674,Watch,Accessories,5,965.96
O0110,2025-05-01,C0859,Backpack,Accessories,8,468.56
O0111,2025-08-14,C0838,Keyboard,Electronics,2,117.42
O0112,2025-03-09,C0426,Wallet,Accessories,3,131.96
O0113,2025-01-03,C0133,Office Chair,Furniture,4,806.77
O0114,2025-10-02,C0173,Headphones,Electronics,3,257.4
O0115,2025-02-03,C0125,Running Shoes,Clothing,5,644.84
O0116,2025-05-17,C0654,Air Fryer,Home Appliances,7,922.45
O0117,2025-06-08,C0561,Blender,Home Appliances,4,288.68
O0118,2025-12-07,C0292,Watch,Accessories,1,167.23
O0119,2025-04-19,C0433,Office Chair,Furniture,7,1329.33
O0120,2025-03-29,C0564,Headphones,Electronics,3,278.97
O0121,2025-08-18,C0195,Desk,Furniture,2,507.83
O0122,2025-12-31,C0374,Running Shoes,Clothing,7,845.85
O0123,2025-02-15,C0962,Headphones,Electronics,4,355.63
O0124,2025-12-26,C0692,Blender,Home Appliances,5,339.84
O0125,2025-11-26,C0732,Smartphone,Electronics,3,1869.42
O0126,2025-08-30,C0342,Smartphone,Electronics,7,4440.05
O0127,2025-08-08,C0107,Monitor,Electronics,7,2021.97
O0128,2025-04-21,C0823,Headphones,Electronics,1,83.74
O0129,2025-07-06,C0723,Mouse,Electronics,5,175.35
O0130,2025-07-30,C0547,Bookshelf,Furniture,5,748.24
O0131,2025-01-02,C0619,Coffee Maker,Home Appliances,2,237.17
O0132,2025-08-21,C0253,Mouse,Electronics,2,75.74
O0133,2025-01-16,C0828,Blender,Home Appliances,8,584.6
O0134,2025-11-28,C0854,T-Shirt,Clothing,6,220.09
O0135,2025-04-12,C0384,Blender,Home Appliances,6,420.23
O0136,2025-09-09,C0773,Smartphone,Electronics,2,1314.95
O0137,2025-02-23,C0633,Jacket,Clothing,3,492.92
O0138,2025-10-21,C0140,Headphones,Electronics,4,351.63
O0139,2025-09-07,C0775,Coffee Maker,Home Appliances,2,239.06
O0140,2025-06-21,C0620,Desk,Furniture,8,1926.12
O0141,2025-06-22,C0181,Jacket,Clothing,5,776.41
O0142,2025-12-31,C0708,Desk,Furniture,2,534.06
O0143,2025-07-08,C0144,Coffee Maker,Home Appliances,3,358.6
O0144,2025-12-17,C0763,Mouse,Electronics,3,108.9
O0145,2025-09-18,C0188,Monitor,Electronics,4,1221.43
O0146,2025-08-29,C0359,Jeans,Clothing,1,65.18
O0147,2025-04-26,C0765,Coffee Maker,Home Appliances,8,803.77
O0148,2025-06-13,C0440,Jeans,Clothing,7,445.63
O0149,2025-06-17,C0015,Jacket,Clothing,2,296.6
O0150,2025-06-30,C0797,Keyboard,Electronics,1,53.52
O0151,2025-10-29,C0682,Desk,Furniture,8,2078.08
O0152,2025-04-05,C0460,Desk,Furniture,1,231.33
O0153,2025-08-08,C0015,Office Chair,Furniture,8,1562.36
O0154,2025-05-18,C0366,Wallet,Accessories,3,147.27
O0155,2025-12-12,C0211,Blender,Home Appliances,5,342.86
O0156,2025-10-13,C0530,Smartphone,Electronics,2,1147.88
O0157,2025-09-21,C0722,Laptop,Electronics,8,6691.79
O0158,2025-04-07,C0235,Jeans,Clothing,2,131.14
O0159,2025-09-08,C0076,Watch,Accessories,7,1163.48
O0160,2025-02-22,C0092,Wallet,Accessories,7,295.85
O0161,2025-03-31,C0887,Keyboard,Electronics,6,309.54
O0162,2025-11-27,C0460,Headphones,Electronics,7,649.49
O0163,2025-01-21,C0097,Jacket,Clothing,8,1179.51
O0164,2025-07-12,C0750,Backpack,Accessories,7,485.32
O0165,2025-06-28,C0621,Watch,Accessories,6,985.63
O0166,2025-01-14,C0513,Monitor,Electronics,2,553.77
O0167,2025-04-15,C0324,Watch,Accessories,1,190.94
O0168,2025-06-13,C0370,Backpack,Accessories,3,199.09
O0169,2025-11-12,C0160,Desk,Furniture,1,248.55
O0170,2025-05-04,C0572,Office Chair,Furniture,6,1185.66
O0171,2025-03-25,C0494,Desk,Furniture,5,1174.22
O0172,2025-11-17,C0827,Watch,Accessories,8,1424.71
O0173,2025-05-31,C0404,Bookshelf,Furniture,7,897.55
O0174,2025-11-09,C0392,T-Shirt,Clothing,2,74.82
O0175,2025-04-30,C0165,Air Fryer,Home Appliances,3,411.39
O0176,2025-12-13,C0622,Jacket,Clothing,8,1226.28
O0177,2025-03-31,C0244,Desk,Furniture,5,1352.12
O0178,2025-10-26,C0065,Jacket,Clothing,2,293.13
O0179,2025-12-22,C0139,Wallet,Accessories,8,369.55
O0180,2025-12-25,C0144,Monitor,Electronics,6,1709.54
O0181,2025-03-21,C0275,Backpack,Accessories,7,424.09
O0182,2025-11-10,C0304,Desk Lamp,Home & Office,4,170.13
O0183,2025-06-08,C0787,Office Chair,Furniture,1,206.32
O0184,2025-01-14,C0791,Office Chair,Furniture,8,1423.0
O0185,2025-06-16,C0250,Watch,Accessories,3,490.27
O0186,2025-04-21,C0935,Smartphone,Electronics,6,3410.18
O0187,2025-03-30,C0570,T-Shirt,Clothing,7,225.13
O0188,2025-11-07,C0671,Coffee Maker,Home Appliances,1,113.46
O0189,2025-03-21,C0315,Keyboard,Electronics,7,364.79
O0190,2025-03-07,C0756,Monitor,Electronics,8,2276.69
O0191,2025-11-12,C0444,Running Shoes,Clothing,1,119.7
O0192,2025-10-19,C0235,Jacket,Clothing,3,417.93
O0193,2025-09-16,C0696,Backpack,Accessories,8,483.21
O0194,2025-03-23,C0238,Air Fryer,Home Appliances,4,523.06
O0195,2025-02-18,C0182,Jeans,Clothing,2,134.47
O0196,2025-11-18,C0415,Laptop,Electronics,8,7379.21
O0197,2025-11-14,C0736,Desk,Furniture,4,986.36
O0198,2025-05-09,C0273,Headphones,Electronics,5,455.55
O0199,2025-11-13,C0195,Desk,Furniture,3,705.65
O0200,2025-07-29,C0500,Laptop,Electronics,2,1704.4
O0201,2025-08-27,C0074,Headphones,Electronics,3,260.45
O0202,2025-02-19,C0653,Jacket,Clothing,5,789.1
O0203,2025-05-16,C0452,Laptop,Electronics,3,2465.41
O0204,2025-03-01,C0492,T-Shirt,Clothing,5,181.88
O0205,2025-03-05,C0368,Wallet,Accessories,6,255.46
O0206,2025-10-21,C0106,Bookshelf,Furniture,5,703.79
O0207,2025-07-11,C0459,Laptop,Electronics,6,5440.56
O0208,2025-04-02,C0665,Running Shoes,Clothing,3,341.3
O0209,2025-08-20,C0836,Watch,Accessories,4,756.84
O0210,2025-08-08,C0165,Blender,Home Appliances,4,292.31
O0211,2025-07-22,C0444,Bookshelf,Furniture,6,845.81
O0212,2025-09-01,C0613,Laptop,Electronics,4,3213.31
O0213,2025-11-03,C0826,Desk,Furniture,3,726.58
O0214,2025-12-31,C0478,Desk Lamp,Home & Office,6,216.18
O0215,2025-12-09,C0024,Watch,Accessories,8,1311.6
O0216,2025-05-19,C0187,Bookshelf,Furniture,3,393.32
O0217,2025-09-29,C0660,Monitor,Electronics,4,1036.07
O0218,2025-10-08,C0391,Bookshelf,Furniture,7,974.98
O0219,2025-05-13,C0711,Air Fryer,Home Appliances,7,996.21
O0220,2025-02-08,C0788,Watch,Accessories,3,511.08
O0221,2025-02-17,C0172,T-Shirt,Clothing,5,189.3
O0222,2025-08-23,C0493,Jacket,Clothing,5,756.52
O0223,2025-01-29,C0476,Desk Lamp,Home & Office,1,37.91
O0224,2025-02-22,C0042,Jacket,Clothing,4,602.11
O0225,2025-03-09,C0228,Desk Lamp,Home & Office,6,261.5
O0226,2025-02-07,C0517,Laptop,Electronics,2,1703.57
O0227,2025-05-30,C0197,Jeans,Clothing,8,575.47
O0228,2025-11-18,C0529,Watch,Accessories,7,1297.51
O0229,2025-04-09,C0694,Desk Lamp,Home & Office,4,145.12
O0230,2025-11-17,C0287,Coffee Maker,Home Appliances,4,472.06
O0231,2025-03-12,C0401,Jeans,Clothing,5,352.72
O0232,2025-05-07,C0973,Watch,Accessories,3,502.48
O0233,2025-07-06,C0449,Wallet,Accessories,4,165.83
O0234,2025-07-09,C0869,Smartphone,Electronics,1,634.15
O0235,2025-11-28,C0979,Air Fryer,Home Appliances,1,133.2
O0236,2025-03-29,C0844,Watch,Accessories,2,369.74
O0237,2025-05-06,C0641,Backpack,Accessories,7,449.8
O0238,2025-10-29,C0945,Backpack,Accessories,4,251.19
O0239,2025-11-17,C0522,Jeans,Clothing,5,348.99
O0240,2025-03-23,C0537,Air Fryer,Home Appliances,6,773.33
O0241,2025-03-15,C0759,Headphones,Electronics,3,277.55
O0242,2025-07-21,C0660,Smartphone,Electronics,6,3854.14
O0243,2025-06-18,C0667,Office Chair,Furniture,4,687.82
O0244,2025-11-11,C0254,Desk,Furniture,3,694.05
O0245,2025-10-26,C0388,Jacket,Clothing,3,451.24
O0246,2025-02-02,C0649,Office Chair,Furniture,1,199.07
O0247,2025-12-09,C0056,Air Fryer,Home Appliances,4,484.64
O0248,2025-06-22,C0402,Jeans,Clothing,6,395.12
O0249,2025-10-03,C0665,Running Shoes,Clothing,2,262.8
O0250,2025-10-22,C0336,Running Shoes,Clothing,3,354.49
O0251,2025-10-02,C0598,Desk,Furniture,6,1567.27
O0252,2025-08-12,C0796,Smartphone,Electronics,3,1911.78
O0253,2025-01-10,C0640,T-Shirt,Clothing,2,69.97
O0254,2025-02-02,C0975,Smartphone,Electronics,7,4048.11
O0255,2025-06-21,C0902,Keyboard,Electronics,3,169.86
O0256,2025-04-08,C0453,Bookshelf,Furniture,4,588.18
O0257,2025-02-05,C0489,Laptop,Electronics,1,851.17
O0258,2025-12-21,C0977,Watch,Accessories,3,503.8
O0259,2025-10-25,C0637,Jeans,Clothing,8,614.47
O0260,2025-08-05,C0066,Desk,Furniture,2,460.89
O0261,2025-03-15,C0599,Wallet,Accessories,2,97.47
O0262,2025-10-12,C0229,Blender,Home Appliances,4,278.39
O0263,2025-02-13,C0273,Desk,Furniture,3,805.62
O0264,2025-02-18,C0005,Desk Lamp,Home & Office,5,189.69
O0265,2025-07-05,C0119,Bookshelf,Furniture,6,919.07
O0266,2025-01-08,C0720,Desk,Furniture,5,1325.9
O0267,2025-12-10,C0668,Bookshelf,Furniture,2,290.74
O0268,2025-05-06,C0343,Coffee Maker,Home Appliances,7,749.63
O0269,2025-10-12,C0040,T-Shirt,Clothing,4,138.23
O0270,2025-02-25,C0485,Headphones,Electronics,1,82.81
O0271,2025-09-25,C0543,Running Shoes,Clothing,4,512.55
O0272,2025-06-27,C0157,Laptop,Electronics,4,3554.83
O0273,2025-11-15,C0657,Mouse,Electronics,3,112.78
O0274,2025-02-02,C0885,Backpack,Accessories,5,353.09
O0275,2025-02-16,C0514,T-Shirt,Clothing,1,33.42
O0276,2025-07-30,C0821,Headphones,Electronics,5,464.92
O0277,2025-03-04,C0686,T-Shirt,Clothing,6,194.31
O0278,2025-10-01,C0924,Mouse,Electronics,5,183.42
O0279,2025-11-20,C0960,Watch,Accessories,8,1481.12
O0280,2025-03-28,C0230,Air Fryer,Home Appliances,5,610.8
O0281,2025-02-06,C0897,T-Shirt,Clothing,6,192.93
O0282,2025-07-22,C0399,Desk,Furniture,8,1893.85
O0283,2025-10-02,C0547,Backpack,Accessories,6,410.13
O0284,2025-09-28,C0700,Bookshelf,Furniture,1,129.01
O0285,2025-09-03,C0143,Mouse,Electronics,3,113.11
O0286,2025-05-21,C0254,T-Shirt,Clothing,2,64.96
O0287,2025-11-10,C0599,Headphones,Electronics,2,196.66
O0288,2025-03-12,C0704,Backpack,Accessories,6,375.64
O0289,2025-02-10,C0896,Jacket,Clothing,5,712.05
O0290,2025-09-26,C0436,Air Fryer,Home Appliances,1,127.23
O0291,2025-04-25,C0687,Smartphone,Electronics,5,2972.25
O0292,2025-08-22,C0224,Blender,Home Appliances,4,274.28
O0293,2025-03-09,C0291,Monitor,Electronics,5,1347.8
O0294,2025-07-02,C0429,Headphones,Electronics,7,670.59
O0295,2025-01-04,C0633,T-Shirt,Clothing,3,100.59
O0296,2025-08-13,C0834,Laptop,Electronics,4,3356.37
O0297,2025-06-03,C0800,Backpack,Accessories,5,342.53
O0298,2025-08-15,C0876,Smartphone,Electronics,4,2343.91
O0299,2025-05-31,C0146,Smartphone,Electronics,6,3974.54
O0300,2025-04-10,C0850,Jacket,Clothing,2,315.91
O0301,2025-10-10,C0149,Monitor,Electronics,1,260.27
O0302,2025-01-31,C0249,Monitor,Electronics,1,301.24
O0303,2025-12-09,C0992,T-Shirt,Clothing,8,297.95
O0304,2025-04-04,C0894,Coffee Maker,Home Appliances,6,685.59
O0305,2025-01-13,C0620,Jeans,Clothing,2,149.66
O0306,2025-11-22,C0647,Bookshelf,Furniture,4,546.97
O0307,2025-10-02,C0205,Watch,Accessories,1,168.54
O0308,2025-09-13,C0869,Backpack,Accessories,3,176.24
O0309,2025-11-09,C0917,Mouse,Electronics,6,209.88
O0310,2025-05-25,C0822,Blender,Home Appliances,8,640.45
O0311,2025-10-27,C0334,Keyboard,Electronics,4,218.76
O0312,2025-07-10,C0024,Headphones,Electronics,4,372.34
O0313,2025-09-13,C0677,Office Chair,Furniture,5,1036.68
O0314,2025-12-28,C0612,Jacket,Clothing,1,159.64
O0315,2025-04-24,C0391,Jeans,Clothing,8,527.14
O0316,2025-06-27,C0195,Keyboard,Electronics,7,354.49
O0317,2025-04-23,C0850,Office Chair,Furniture,1,190.96
O0318,2025-03-30,C0294,Coffee Maker,Home Appliances,4,418.69
O0319,2025-01-03,C0267,Monitor,Electronics,2,538.94
O0320,2025-01-08,C0402,Jacket,Clothing,2,289.58
O0321,2025-10-19,C0479,Jacket,Clothing,6,865.88
O0322,2025-03-20,C0795,Jeans,Clothing,7,535.51
O0323,2025-08-10,C0372,Monitor,Electronics,2,579.26
O0324,2025-12-26,C0006,Office Chair,Furniture,1,203.37
O0325,2025-11-07,C0956,Jacket,Clothing,3,463.67
O0326,2025-06-08,C0604,Keyboard,Electronics,4,227.17
O0327,2025-06-07,C0534,Bookshelf,Furniture,3,423.02
O0328,2025-06-04,C0399,Jeans,Clothing,1,67.02
O0329,2025-10-04,C0747,Laptop,Electronics,2,1550.36
O0330,2025-02-06,C0045,Headphones,Electronics,5,453.7
O0331,2025-09-23,C0291,Blender,Home Appliances,8,545.36
O0332,2025-10-07,C0640,Bookshelf,Furniture,6,825.79
O0333,2025-04-21,C0470,Monitor,Electronics,4,1217.33
O0334,2025-01-10,C0277,Jacket,Clothing,4,560.28
O0335,2025-01-27,C0292,Jacket,Clothing,8,1316.02
O0336,2025-04-12,C0917,Coffee Maker,Home Appliances,1,109.58
O0337,2025-07-09,C0564,Wallet,Accessories,6,260.46
O0338,2025-03-01,C0646,Wallet,Accessories,1,46.26
O0339,2025-06-17,C0525,Air Fryer,Home Appliances,3,370.84
O0340,2025-08-30,C0554,Watch,Accessories,4,689.12
O0341,2025-06-15,C0783,Blender,Home Appliances,4,311.25
O0342,2025-08-06,C0777,Desk Lamp,Home & Office,6,249.53
O0343,2025-01-29,C0661,Jeans,Clothing,8,569.67
O0344,2025-10-11,C0890,Keyboard,Electronics,7,357.29
O0345,2025-02-05,C0121,Backpack,Accessories,8,496.5
O0346,2025-09-10,C0985,Keyboard,Electronics,3,160.29
O0347,2025-11-19,C0875,Wallet,Accessories,2,95.3
O0348,2025-02-09,C0988,Office Chair,Furniture,6,1125.71
O0349,2025-12-28,C0717,Jacket,Clothing,1,148.2
O0350,2025-01-31,C0536,Monitor,Electronics,4,1229.99
O0351,2025-01-24,C0005,Monitor,Electronics,3,864.4
O0352,2025-03-02,C0038,Blender,Home Appliances,3,213.55
O0353,2025-09-02,C0354,Blender,Home Appliances,4,318.53
O0354,2025-01-25,C0949,Monitor,Electronics,6,1558.91
O0355,2025-05-20,C0067,Desk,Furniture,2,511.11
O0356,2025-01-10,C0630,Blender,Home Appliances,2,151.53
O0357,2025-03-21,C0773,Headphones,Electronics,6,559.2
O0358,2025-08-21,C0234,T-Shirt,Clothing,7,223.16
O0359,2025-01-10,C0788,Headphones,Electronics,3,289.42
O0360,2025-09-22,C0833,Office Chair,Furniture,4,799.24
O0361,2025-11-04,C0480,Headphones,Electronics,5,409.91
O0362,2025-09-05,C0095,Blender,Home Appliances,8,577.39
O0363,2025-09-06,C0241,Mouse,Electronics,7,256.96
O0364,2025-06-29,C0390,Keyboard,Electronics,7,385.14
O0365,2025-03-10,C0656,Watch,Accessories,6,1048.45
O0366,2025-02-12,C0279,Smartphone,Electronics,7,4310.86
O0367,2025-06-12,C0836,Blender,Home Appliances,6,469.85
O0368,2025-10-11,C0032,Air Fryer,Home Appliances,2,251.87
O0369,2025-07-28,C0385,Monitor,Electronics,7,2053.48
O0370,2025-06-07,C0381,T-Shirt,Clothing,5,184.29
O0371,2025-04-26,C0345,Coffee Maker,Home Appliances,8,893.75
O0372,2025-05-22,C0208,Running Shoes,Clothing,2,231.12
O0373,2025-12-29,C0589,Headphones,Electronics,4,363.75
O0374,2025-09-02,C0459,Jacket,Clothing,1,157.71
O0375,2025-01-02,C0316,Watch,Accessories,1,178.31
O0376,2025-09-22,C0189,Headphones,Electronics,7,584.14
O0377,2025-12-04,C0766,Bookshelf,Furniture,3,450.08
O0378,2025-07-04,C0339,Mouse,Electronics,2,76.57
O0379,2025-11-09,C0868,Coffee Maker,Home Appliances,4,450.06
O0380,2025-04-19,C0300,Jeans,Clothing,5,352.57
O0381,2025-07-12,C0847,Bookshelf,Furniture,3,400.84
O0382,2025-03-04,C0476,Smartphone,Electronics,2,1171.36
O0383,2025-03-07,C0953,Smartphone,Electronics,4,2420.2
O0384,2025-06-13,C0297,Desk Lamp,Home & Office,2,78.85
O0385,2025-12-17,C0178,Smartphone,Electronics,1,625.89
O0386,2025-07-11,C0348,Watch,Accessories,5,874.1
O0387,2025-05-17,C0019,Jacket,Clothing,8,1204.35
O0388,2025-01-26,C0821,Jacket,Clothing,5,705.13
O0389,2025-03-23,C0387,Bookshelf,Furniture,7,948.57
O0390,2025-03-29,C0317,Mouse,Electronics,3,107.46
O0391,2025-08-19,C0837,Office Chair,Furniture,7,1337.51
O0392,2025-05-11,C0770,Blender,Home Appliances,6,482.7
O0393,2025-01-27,C0986,Coffee Maker,Home Appliances,4,461.25
O0394,2025-03-31,C0468,Wallet,Accessories,1,47.71
O0395,2025-11-26,C0846,Smartphone,Electronics,3,1685.33
O0396,2025-04-25,C0165,Mouse,Electronics,4,146.04
O0397,2025-10-02,C0042,Keyboard,Electronics,4,237.05
O0398,2025-03-29,C0404,Laptop,Electronics,3,2637.64
O0399,2025-11-10,C0190,Air Fryer,Home Appliances,4,488.56
O0400,2025-09-01,C0864,Smartphone,Electronics,2,1274.1
O0401,2025-12-05,C0391,Desk,Furniture,2,506.35
O0402,2025-06-22,C0061,Jacket,Clothing,6,920.21
O0403,2025-10-16,C0687,Laptop,Electronics,5,4281.47
O0404,2025-01-18,C0707,Jeans,Clothing,5,377.2
O0405,2025-12-18,C0019,Desk Lamp,Home & Office,6,234.34
O0406,2025-05-04,C0565,Watch,Accessories,6,1069.57
O0407,2025-01-16,C0022,Wallet,Accessories,3,132.56
O0408,2025-01-05,C0667,Monitor,Electronics,8,2229.49
O0409,2025-08-04,C0403,T-Shirt,Clothing,3,107.77
O0410,2025-12-29,C0880,Air Fryer,Home Appliances,6,797.96
O0411,2025-06-21,C0628,Jeans,Clothing,6,409.31
O0412,2025-10-07,C0282,Backpack,Accessories,6,375.88
O0413,2025-10-16,C0638,Running Shoes,Clothing,4,447.26
O0414,2025-12-15,C0834,Laptop,Electronics,3,2713.78
O0415,2025-12-30,C0867,Keyboard,Electronics,8,420.08
O0416,2025-06-14,C0106,Headphones,Electronics,5,474.62
O0417,2025-10-02,C0367,Bookshelf,Furniture,3,401.49
O0418,2025-05-13,C0565,Laptop,Electronics,8,7458.06
O0419,2025-07-29,C0892,Wallet,Accessories,3,141.36
O0420,2025-12-05,C0639,Smartphone,Electronics,7,3980.94
O0421,2025-12-01,C0209,Bookshelf,Furniture,3,389.29
O0422,2025-02-12,C0800,Bookshelf,Furniture,8,1163.57
O0423,2025-08-31,C0502,Laptop,Electronics,1,870.59
O0424,2025-11-03,C0333,Keyboard,Electronics,8,414.94
O0425,2025-02-05,C0299,Desk,Furniture,6,1541.77
O0426,2025-07-29,C0235,Desk Lamp,Home & Office,7,306.48
O0427,2025-02-21,C0991,Bookshelf,Furniture,3,409.29
O0428,2025-11-04,C0291,Bookshelf,Furniture,5,727.43
O0429,2025-02-13,C0716,Desk,Furniture,6,1390.05
O0430,2025-03-15,C0598,Keyboard,Electronics,5,297.46
O0431,2025-09-08,C0737,Running Shoes,Clothing,2,220.68
O0432,2025-07-12,C0195,Desk,Furniture,8,1829.45
O0433,2025-06-27,C0562,Air Fryer,Home Appliances,5,637.39
O0434,2025-08-24,C0595,Office Chair,Furniture,7,1326.29
